Player;Tm;Salary
Stephen Curry;GSW;$37457154
Chris Paul;HOU;$35654150
Russell Westbrook;OKC;$35654150
LeBron James;LAL;$35654150
Blake Griffin;DET;$32088932
Gordon Hayward;BOS;$31214295
Kyle Lowry;TOR;$31200000
Paul George;OKC;$30560700
Mike Conley;MEM;$30521116
James Harden;HOU;$30431854
Kevin Durant;GSW;$30000000
Paul Millsap;DEN;$29730769
Al Horford;BOS;$28928710
Damian Lillard;POR;$27977689
DeMar DeRozan;SAS;$27739975
Chris Bosh;MIA;$26837720
Otto Porter;CHI;$26011913
Jrue Holiday;NOP;$25976111
CJ McCollum;POR;$25759766
Carmelo Anthony;ATL;$25534253
Andrew Wiggins;MIN;$25467250
Joel Embiid;PHI;$25467250
Bradley Beal;WAS;$25434263
Anthony Davis;NOP;$25434263
Andre Drummond;DET;$25434263
Hassan Whiteside;MIA;$25434263
Nikola Jokic;DEN;$24605181
Steven Adams;OKC;$24157304
Giannis Antetokounmpo;MIL;$24157304
Kevin Love;CLE;$24119025
Marc Gasol;TOR;$24119025
Chandler Parsons;MEM;$24107258
Harrison Barnes;SAC;$24107258
Nicolas Batum;CHO;$24000000
Rudy Gobert;UTA;$23241573
Kawhi Leonard;TOR;$23114067
DeAndre Jordan;NYK;$22900000
LaMarcus Aldridge;SAS;$22347015
Serge Ibaka;TOR;$21666667
Aaron Gordon;ORL;$21590909
Danilo Gallinari;LAC;$21587579
Victor Oladipo;IND;$21000000
Jimmy Butler;PHI;$20445779
Ryan Anderson;MIA;$20421546
Kyrie Irving;BOS;$20099189
Jabari Parker;WAS;$20000000
Zach LaVine;CHI;$19500000
Tyler Johnson;PHO;$19245370
John Wall;WAS;$19169800
Jeff Teague;MIN;$19000000
George Hill;MIL;$19000000
Klay Thompson;GSW;$18988725
Dwight Howard;BRK;$18919725
Wesley Matthews;NYK;$18622514
Enes Kanter;NYK;$18622514
Joakim Noah;NYK;$18530000
Allen Crabbe;BRK;$18500000
Goran Dragic;MIA;$18109175
Kent Bazemore;ATL;$18089887
Evan Turner;POR;$17868852
Draymond Green;GSW;$17469565
Tristan Thompson;CLE;$17469565
Tim Hardaway;DAL;$17325000
Reggie Jackson;DET;$17043478
Evan Fournier;ORL;$17000000
Bismack Biyombo;CHO;$17000000
Derrick Favors;UTA;$16900000
Jonas Valanciunas;MEM;$16539326
Gary Harris;DEN;$16517857
Andre Iguodala;GSW;$16000000
Timofey Mozgov;ORL;$16000000
Ian Mahinmi;WAS;$15944154
Dennis Schroder;OKC;$15500000
DeMarre Carroll;BRK;$15400000
Clint Capela;HOU;$15293104
Gorgui Dieng;MIN;$15170787
Pau Gasol;SAS;$15100000
Eric Bledsoe;MIL;$15000000
Trevor Ariza;WAS;$15000000
Ricky Rubio;UTA;$14975000
Tobias Harris;PHI;$14800000
J.R. Smith;CLE;$14720000
James Johnson;MIA;$14651700
Brandon Knight;CLE;$14631250
Robin Lopez;CHI;$14357750
Luol Deng;LAL;$14354067
Marvin Williams;CHO;$14087500
Taj Gibson;MIN;$14000000
Jeremy Lin;ATL;$13768421
Thaddeus Young;IND;$13764045
Kenneth Faried;BRK;$13764045
Tyson Chandler;PHO;$13585000
Marcin Gortat;LAC;$13565218
Cody Zeller;CHO;$13528090
Eric Gordon;HOU;$13500375
Joe Ingles;UTA;$13045455
Khris Middleton;MIL;$13000000
Michael Kidd-Gilchrist;CHO;$13000000
Mason Plumlee;DEN;$12917808
Wilson Chandler;LAC;$12800562
Nikola Vucevic;ORL;$12750000
Jordan Clarkson;CLE;$12500000
Miles Plumlee;ATL;$12500000
Nikola Mirotic;MIL;$12500000
Tyreke Evans;IND;$12400000
Courtney Lee;DAL;$12253780
Solomon Hill;NOP;$12252928
J.J. Redick;PHI;$12250000
Kelly Olynyk;MIA;$12137527
Austin Rivers;PHO;$12000000
Avery Bradley;MEM;$12000000
Kentavious Caldwell-Pope;LAL;$12000000
Kemba Walker;CHO;$12000000
Will Barton;DEN;$11830358
T.J. Warren;PHO;$11750000
Zach Randolph;DAL;$11692308
Marcus Smart;BOS;$11660716
Patty Mills;SAS;$11571429
Dion Waiters;MIA;$11550000
Alec Burks;SAC;$11536515
John Henson;CLE;$11327466
Omer Asik;CHI;$11286516
Jusuf Nurkic;POR;$11111111
Iman Shumpert;HOU;$11011234
Maurice Harkless;POR;$10837079
Tony Snell;MIL;$10607143
Meyers Leonard;POR;$10595506
Terrence Ross;ORL;$10500000
Bojan Bogdanovic;IND;$10500000
Robert Covington;MIN;$10464092
Rudy Gay;SAS;$10087200
Jon Leuer;DET;$10002681
Andre Roberson;OKC;$10000000
Danny Green;TOR;$10000000
Darren Collison;IND;$10000000
Dwight Powell;DAL;$9631250
Matthew Dellavedova;CLE;$9607500
Dante Exum;UTA;$9600000
Jared Dudley;BRK;$9530000
Norman Powell;TOR;$9367200
Josh Richardson;MIA;$9367200
Bogdan Bogdanovic;SAC;$9000000
Rajon Rondo;LAL;$9000000
E'Twaun Moore;NOP;$8808685
Kosta Koufos;SAC;$8739500
Jerami Grant;OKC;$8653847
Fred VanVleet;TOR;$8653847
Kyle Anderson;MEM;$8641000
Julius Randle;NOP;$8641000
Markieff Morris;NOP;$8600000
Jerryd Bayless;MIN;$8575916
Cristiano Felicio;CHI;$8470980
Markelle Fultz;ORL;$8339880
C.J. Miles;MEM;$8333333
Joe Harris;BRK;$8333333
Shaun Livingston;GSW;$8307692
Deandre Ayton;PHO;$8165160
Lou Williams;LAC;$8000000
Garrett Temple;LAC;$8000000
P.J. Tucker;HOU;$7969537
Cory Joseph;IND;$7945000
JaMychal Green;LAC;$7866667
Karl-Anthony Towns;MIN;$7839435
Kyle Korver;UTA;$7560000
Jeremy Lamb;CHO;$7488372
Darrell Arthur;PHO;$7464912
Lonzo Ball;LAL;$7461960
Doug McDermott;IND;$7333334
Jae Crowder;UTA;$7305825
Marvin Bagley;SAC;$7305600
D.J. Augustin;ORL;$7250000
Dewayne Dedmon;ATL;$7200000
Lance Thomas;NYK;$7119650
D'Angelo Russell;BRK;$7019698
Langston Galloway;DET;$7000000
Davis Bertans;SAS;$7000000
Ersan Ilyasova;MIL;$7000000
Boban Marjanovic;PHI;$7000000
Al-Farouq Aminu;POR;$6957105
Jayson Tatum;BOS;$6700800
Luka Doncic;DAL;$6560640
Nemanja Bjelica;SAC;$6500000
Mario Hezonja;NYK;$6500000
Ben Simmons;PHI;$6434520
Milos Teodosic;LAC;$6300000
Wayne Ellington;PHO;$6270000
Marco Belinelli;SAS;$6153846
Wesley Johnson;WAS;$6134520
Josh Jackson;PHO;$6041520
Montrezl Harrell;LAC;$6000000
Jonathon Simmons;PHI;$6000000
Ish Smith;DET;$6000000
Jaren Jackson;MEM;$5915040
Brandon Ingram;LAL;$5757120
Anthony Tolliver;MIN;$5750000
Kristaps Porzingis;DAL;$5697054
Deron Williams;BRK;$5474787
De'Aaron Fox;SAC;$5470920
Ben McLemore;SAC;$5460000
Alex Abrines;OKC;$5455236
Patrick Patterson;OKC;$5451600
Jason Smith;NOP;$5450000
Marcus Morris;BOS;$5375000
Trae Young;ATL;$5356440
Dwight Howard;WAS;$5337000
DeMarcus Cousins;GSW;$5337000
Josh Smith;DET;$5331729
Alexis Ajinca;LAC;$5285394
Thabo Sefolosha;UTA;$5250000
Aron Baynes;BOS;$5193600
Jaylen Brown;BOS;$5169960
Patrick Beverley;LAC;$5027028
Tony Parker;CHO;$5000000
Mike Muscala;LAL;$5000000
Dirk Nowitzki;DAL;$5000000
Jonathan Isaac;ORL;$4969080
Mohamed Bamba;ORL;$4865040
Willie Cauley-Stein;SAC;$4696875
Dragan Bender;PHO;$4661280
Ron Baker;NYK;$4544400
Lauri Markkanen;CHI;$4536120
Lance Stephenson;LAL;$4449000
Kyle O'Quinn;IND;$4449000
Ed Davis;BRK;$4449000
Wendell Carter;CHI;$4441200
Justin Holiday;MEM;$4384616
Alex Len;ATL;$4350000
Mike Scott;PHI;$4320500
Luc Mbah a Moute;LAC;$4320500
Emmanuel Mudiay;NYK;$4294480
Kris Dunn;CHI;$4221000
Frank Ntilikina;NYK;$4155720
Glenn Robinson;DET;$4075000
Collin Sexton;CLE;$4068600
Al Jefferson;IND;$4000000
Stanley Johnson;NOP;$3940402
Buddy Hield;SAC;$3833760
Dennis Smith;NYK;$3819960
Kevin Knox;NYK;$3739920
J.J. Barea;DAL;$3710850
Nene Hilario;HOU;$3651480
Zach Collins;POR;$3628920
Frank Kaminsky;CHO;$3627842
Mikal Bridges;PHO;$3552960
Mirza Teletovic;MIL;$3500000
Michael Beasley;LAC;$3500000
Jamal Murray;DEN;$3499800
Rodney Hood;POR;$3472887
Jodie Meeks;MIL;$3454500
Justise Winslow;MIA;$3448926
Malik Monk;CHO;$3447480
Myles Turner;IND;$3410284
Allonzo Trier;NYK;$3382000
Brook Lopez;MIL;$3382000
Shai Gilgeous-Alexander;LAC;$3375360
Trey Lyles;DEN;$3364249
Ekpe Udoh;UTA;$3360000
Devin Booker;PHO;$3314365
Luke Kennard;DET;$3275280
Cameron Payne;CHI;$3263295
Troy Daniels;PHO;$3258539
Kelly Oubre;PHO;$3208630
Miles Bridges;CHO;$3206640
Marquese Chriss;CLE;$3206160
Tomas Satoransky;WAS;$3129187
Bryn Forbes;SAS;$3125000
Donovan Mitchell;UTA;$3111480
Terry Rozier;BOS;$3050390
Jerome Robinson;LAC;$3046200
Yogi Ferrell;SAC;$3000000
Elfrid Payton;NOP;$3000000
Bam Adebayo;MIA;$2955840
Jakob Poeltl;SAS;$2947320
Michael Porter;DEN;$2894160
Andrew Nicholson;POR;$2844429
Justin Jackson;DAL;$2807880
Thon Maker;DET;$2799720
Seth Curry;POR;$2795000
Cedi Osman;CLE;$2775000
Sam Dekker;WAS;$2760095
Troy Brown;WAS;$2749080
Guerschon Yabusele;BOS;$2667600
Justin Patton;PHI;$2667600
Domantas Sabonis;IND;$2659800
Jerian Grant;ORL;$2639314
Zhaire Smith;PHI;$2611800
Delon Wright;MEM;$2536898
D.J. Wilson;MIL;$2534280
Dario Saric;MIN;$2526840
Taurean Waller-Prince;ATL;$2526840
Justin Anderson;ATL;$2516048
Manu Ginobili;SAS;$2500000
Dante Cunningham;SAS;$2500000
Reggie Bullock;LAL;$2500000
Bobby Portis;WAS;$2494346
Donte DiVincenzo;MIL;$2481000
Rondae Hollis-Jefferson;BRK;$2470357
Tyus Jones;MIN;$2444053
Jarell Martin;ORL;$2416222
T.J. Leaf;IND;$2407560
Jeff Green;WAS;$2393887
Amir Johnson;PHI;$2393887
Raymond Felton;OKC;$2393887
Luol Deng;MIN;$2393887
Udonis Haslem;MIA;$2393887
Dwyane Wade;MIA;$2393887
JaVale McGee;LAL;$2393887
Gerald Green;HOU;$2393887
Andrew Bogut;GSW;$2393887
Jose Calderon;DET;$2393887
Zaza Pachulia;DET;$2393887
Devin Harris;DAL;$2393887
Channing Frye;CLE;$2393887
Carmelo Anthony;CHI;$2393887
Vince Carter;ATL;$2393887
Jamal Crawford;PHO;$2393887
Tyson Chandler;LAL;$2393887
Wayne Ellington;DET;$2383076
Lonnie Walker;SAS;$2357160
Jamal Crawford;ATL;$2304226
John Collins;ATL;$2299080
Denzel Valentine;CHI;$2280600
Larry Nance;CLE;$2272391
Kevin Huerter;ATL;$2250960
Monta Ellis;IND;$2245400
Harry Giles;SAC;$2207040
Darius Miller;NOP;$2205000
Derrick Rose;MIN;$2176260
Omri Casspi;MEM;$2176260
Juan Hernangomez;DEN;$2166360
Quincy Pondexter;SAS;$2165481
Jonas Jerebko;GSW;$2165481
Greg Monroe;BRK;$2165481
Josh Okogie;MIN;$2160720
Raul Neto;UTA;$2150000
Matt Barnes;SAC;$2133542
Terrance Ferguson;OKC;$2118840
Grayson Allen;UTA;$2074320
Jarrett Allen;BRK;$2034120
Isaiah Thomas;DEN;$2029463
Shelvin Mack;CHO;$2029463
Spencer Hawes;MIL;$2007058
Georgios Papagiannis;SAC;$2000400
Torrey Craig;DEN;$2000000
Corey Brewer;SAC;$2000000
Chandler Hutchison;CHI;$1991520
OG Anunoby;TOR;$1952760
Ante Zizic;CLE;$1952760
Shabazz Napier;BRK;$1942422
Anderson Varejao;POR;$1913345
Aaron Holiday;IND;$1911960
Tim Duncan;SAS;$1881250
Tyler Lydon;DEN;$1874640
Larry Sanders;MIL;$1865547
Henry Ellenson;DET;$1857480
Anfernee Simons;POR;$1835520
Trey Burke;DAL;$1795015
Malik Beasley;DEN;$1773840
Moritz Wagner;LAL;$1762080
Nerlens Noel;OKC;$1757429
Ian Clark;NOP;$1757429
Caleb Swanigan;SAC;$1740000
Furkan Korkmaz;PHI;$1740000
Joakim Noah;MEM;$1731173
Landry Shamet;LAC;$1703640
Caris LeVert;BRK;$1702800
Jonah Bolden;PHI;$1690000
Kyle Kuzma;LAL;$1689840
Tony Bradley;UTA;$1679520
Derrick White;SAS;$1667160
Spencer Dinwiddie;BRK;$1656092
MarShon Brooks;CHI;$1656092
Josh Hart;LAL;$1655160
Robert Williams;BOS;$1654440
Jacob Evans;GSW;$1644240
Pat Connaughton;MIL;$1641000
DeAndre' Bembry;ATL;$1634640
Dzanan Musa;BRK;$1632240
James Ennis;PHI;$1621415
Noah Vonleh;NYK;$1621415
Tim Frazier;NOP;$1621415
Nik Stauskas;IND;$1621415
Omari Spellman;ATL;$1620480
Luke Kornet;NYK;$1619000
Rodions Kurucs;BRK;$1618320
Richaun Holmes;PHO;$1600520
T.J. McConnell;PHI;$1600520
Malachi Richardson;PHI;$1569360
Jahlil Okafor;NOP;$1567007
Kevon Looney;GSW;$1567007
Salah Mejri;DAL;$1567007
Pascal Siakam;TOR;$1544951
Skal Labissiere;POR;$1544951
Dejounte Murray;SAS;$1544951
Damian Jones;GSW;$1544951
Deyonta Davis;SAC;$1544951
Jake Layman;POR;$1544951
Cheick Diallo;NOP;$1544951
Malcolm Brogdon;MIL;$1544951
Ivica Zubac;LAC;$1544951
Rodney McGruder;LAC;$1544951
Wade Baldwin;IND;$1544951
Quinn Cook;GSW;$1544951
Chinanu Onuaku;DAL;$1544951
Dorian Finney-Smith;DAL;$1544951
Willy Hernangomez;CHO;$1544951
Timothe Luwawu-Cabarrot;CHI;$1544951
Wayne Selden;CHI;$1544951
Georges Niang;UTA;$1512601
Christian Wood;NOP;$1512601
Derrick Jones;MIA;$1512601
David Nwaba;CLE;$1512601
Treveon Graham;BRK;$1512601
Sviatoslav Mykhailiuk;DET;$1487694
Mitchell Robinson;NYK;$1485440
Jordan Bell;GSW;$1378252
Frank Jackson;NOP;$1378242
Thomas Bryant;WAS;$1378242
Royce O'Neale;UTA;$1378242
Frank Mason;SAC;$1378242
Davon Reed;PHO;$1378242
Wesley Iwundu;ORL;$1378242
Khem Birch;ORL;$1378242
Abdel Nader;OKC;$1378242
Damyean Dotson;NYK;$1378242
Sterling Brown;MIL;$1378242
Rade Zagorac;MEM;$1378242
Dillon Brooks;MEM;$1378242
Tyler Dorsey;MEM;$1378242
Ivan Rabb;MEM;$1378242
Jawun Evans;LAC;$1378242
Sindarius Thornwell;LAC;$1378242
Ike Anigbogu;IND;$1378242
Maxi Kleber;DAL;$1378242
Dwayne Bacon;CHO;$1378242
Daniel Theis;BOS;$1378242
Semi Ojeleye;BOS;$1378242
Kevin Martin;MIN;$1360304
Monte Morris;DEN;$1349383
Antonio Blakeney;CHI;$1349383
Tyrone Wallace;LAC;$1349383
Alfonzo McKinnie;GSW;$1349383
Ryan Arcidiacono;CHI;$1349383
Jabari Bird;ATL;$1349383
Daniel Hamilton;ATL;$1349383
Shaquille Harrison;CHI;$1311265
Elie Okobo;PHO;$1238464
Jalen Brunson;DAL;$1230000
Michael Carter-Williams;CHI;$1200000
Austin Rivers;HOU;$1155323
Melvin Frazier;ORL;$1050000
Isaac Bonga;LAL;$1000000
Justin Hamilton;TOR;$1000000
Shelvin Mack;ORL;$1000000
Kyle Singler;OKC;$999200
Devonte' Graham;CHO;$988464
Isaiah Taylor;CLE;$950000
De'Anthony Melton;PHO;$949000
Jason Thompson;GSW;$945126
Kenneth Faried;HOU;$917272
Chasson Randle;WAS;$869094
Gary Trent;POR;$838464
Hamidou Diallo;OKC;$838464
Keita Bates-Diop;MIN;$838464
Jevon Carter;MEM;$838464
Bruce Brown;DET;$838464
Jarred Vanderbilt;DEN;$838464
Khyri Thomas;DET;$838464
Chimezie Metu;SAS;$838464
Isaiah Briscoe;ORL;$838464
Kenrich Williams;NOP;$838464
Alize Johnson;IND;$838464
Isaiah Hartenstein;HOU;$838464
Ray Spalding;DAL;$838464
Ryan Broekhoff;DAL;$838464
Brad Wanamaker;BOS;$838464
Martell Webster;WAS;$833333
Lorenzo Brown;TOR;$800000
Patrick McCaw;TOR;$786000
Wesley Matthews;IND;$737715
Jeremy Lin;TOR;$697000
Cole Aldrich;MIN;$685341
James Nunnally;MIN;$655632
Enes Kanter;POR;$653556
Carlos Delfino;LAC;$650000
Markieff Morris;OKC;$573295
Nik Stauskas;CLE;$540472
Pau Gasol;MIL;$527467
Caron Butler;SAC;$517219
Zhou Qi;HOU;$506134
Bruno Caboclo;MEM;$487000
Dakari Johnson;MEM;$459414
Chris Boucher;TOR;$457418
Malcolm Miller;TOR;$457418
Isaiah Canaan;PHO;$456733
Edmond Sumner;IND;$449794
A.J. Hammons;MIA;$350088
Henry Ellenson;NYK;$341831
Festus Ezeli;POR;$333333
C.J. Watson;ORL;$333333
Patrick McCaw;CLE;$323529
Nick Young;DEN;$311070
Corey Brewer;SAC;$270496
Corey Brewer;PHI;$270496
Okaro White;WAS;$264919
Miroslav Raduljica;LAC;$252043
Eric Moreland;PHO;$239035
Jaylen Adams;ATL;$236854
Quincy Acy;PHO;$213949
Tim Frazier;MIL;$205098
Andrew Harrison;MEM;$200000
Jimmer Fredette;PHO;$198580
Michael Carter-Williams;ORL;$198580
Isaiah Canaan;MIN;$198580
Terrence Jones;HOU;$198580
Jodie Meeks;TOR;$196724
Dairis Bertans;NOP;$194220
Ray Spalding;PHO;$184746
Bruno Caboclo;MEM;$183211
Cameron Payne;CLE;$177063
Deyonta Davis;ATL;$170916
Ron Baker;WAS;$170915
Jamaal Franklin;MEM;$163296
Ben Moore;IND;$160096
Jodie Meeks;TOR;$122953
Troy Williams;HOU;$122741
Greg Monroe;BOS;$122344
Cameron Reynolds;MIN;$108953
Tyler Zeller;ATL;$106974
John Jenkins;NYK;$99290
John Jenkins;NYK;$99290
John Jenkins;WAS;$99290
Isaiah Canaan;MIL;$99290
Cameron Reynolds;MIN;$94742
Justin Bibbs;LAC;$94742
Mitch Creek;BRK;$94742
B.J. Johnson;ATL;$94742
Demetrius Jackson;BOS;$92857
Chris Chiozza;HOU;$90005
Eric Moreland;TOR;$88531
JaKarr Sampson;CHI;$88531
Henry Ellenson;NYK;$85458
Gary Payton;WAS;$85458
Scotty Hopson;OKC;$85458
Charles Cooke;MIA;$76236
Andre Ingram;LAL;$76236
Kobi Simmons;CLE;$76236
Donatas Motiejunas;SAS;$59820
Shaquille Harrison;PHO;$50000
Garlon Green;NOP;$50000
Ray Spalding;PHO;$47371
Chris Chiozza;HOU;$47371
Cody Demps;SAC;$47371
B.J. Johnson;SAC;$47371
Emanuel Terry;PHO;$47371
Richard Solomon;OKC;$47371
Mitch Creek;MIN;$47371
Emanuel Terry;MIA;$47371
Dusty Hannahs;MEM;$47371
Scott Machado;LAL;$47371
Stephan Hicks;IND;$47371
Tahjere McCall;BRK;$47371
Jordan Sibert;ATL;$47371
Isaac Humphries;ATL;$47371
Emanuel Terry;DEN;$35000
Troy Williams;NOP;$34183
Terry Larrier;DAL;$6000
Ding Yanyuhang;DAL;$4737