ime;ekipa;stevilo_tekem;zacetna_postava;minutaza;stevilo_zadetih_metov_iz_igre;stevilo_metov_iz_igre;stevilo_zadetih_trojk;stevilo_trojk;stevilo_zadetih_prostih_metov;stevilo_prostih_metov;skoki_v_napadu;skoki_v_obrambi;podaje;ukradene_zoge;blokade;izgubljene_zoge;osebne_napake;tocke;Placa.placa
Gorgui Dieng;MIN;76;2;1031;189;377;19;56;88;106;81;230;72;48;41;57;134;485;$15170787
Grayson Allen;UTA;38;2;416;67;178;32;99;45;60;3;20;25;6;6;33;47;211;$2074320
Greg Monroe;TOT;43;2;480;92;189;1;5;45;72;67;105;24;14;8;32;66;230;
Greg Monroe;TOR;38;2;423;74;161;0;4;35;61;60;96;16;13;8;31;61;183;
Greg Monroe;BOS;2;0;5;3;5;0;0;0;0;3;0;1;0;0;0;0;6;$122344
Greg Monroe;PHI;3;0;52;15;23;1;1;10;11;4;9;7;1;0;1;5;41;
Guerschon Yabusele;BOS;41;1;251;35;77;9;28;15;22;23;30;15;8;7;15;32;94;$2667600
Hamidou Diallo;OKC;51;3;526;75;165;4;24;36;59;38;59;17;21;10;23;77;190;$838464
Harrison Barnes;SAC;28;28;949;141;310;53;130;64;80;21;133;53;17;2;30;43;399;$24107258
Harrison Barnes;TOT;77;77;2533;431;1027;174;441;229;278;57;304;115;50;13;98;122;1265;
Harrison Barnes;DAL;49;49;1584;290;717;121;311;165;198;36;171;62;33;11;68;79;866;
Harry Giles;SAC;58;0;820;175;348;0;6;58;91;66;156;85;31;22;73;150;408;$2207040
Hassan Whiteside;MIA;72;53;1674;388;680;2;16;109;243;257;560;56;46;136;97;192;887;$25434263
Haywood Highsmith;PHI;5;0;40;4;10;1;5;0;2;0;5;2;1;0;1;1;9;
Henry Ellenson;TOT;19;0;259;39;95;17;38;19;25;5;61;16;7;2;9;27;114;
Henry Ellenson;DET;2;0;25;4;10;2;4;2;2;0;9;1;0;0;0;2;12;$1857480
Henry Ellenson;NYK;17;0;234;35;85;15;34;17;23;5;52;15;7;2;9;25;102;$341831
Henry Ellenson;NYK;17;0;234;35;85;15;34;17;23;5;52;15;7;2;9;25;102;$85458
Ian Clark;NOP;60;6;973;151;383;66;202;33;37;13;76;94;22;8;58;95;401;$1757429
Ian Mahinmi;WAS;34;6;498;47;104;3;16;42;61;48;80;25;25;16;21;84;139;$15944154
Ike Anigbogu;IND;3;0;6;0;3;0;0;0;0;1;2;1;0;1;1;0;0;$1378242
Iman Shumpert;TOT;62;41;1481;167;446;95;273;36;45;27;156;112;59;24;50;127;465;
Iman Shumpert;SAC;42;40;1099;133;348;74;202;34;41;19;110;91;47;20;38;92;374;
Iman Shumpert;HOU;20;1;382;34;98;21;71;2;4;8;46;21;12;4;12;35;91;$11011234
Isaac Bonga;LAL;22;0;120;5;33;0;8;9;15;9;16;15;9;4;6;9;19;$1000000
Isaac Humphries;ATL;5;1;56;6;21;3;11;0;0;4;7;0;1;0;0;7;15;$47371
Isaiah Briscoe;ORL;39;0;559;55;138;11;34;15;26;5;69;87;11;2;31;66;136;$838464
Isaiah Canaan;TOT;30;16;629;64;164;34;96;19;24;6;52;84;14;2;35;52;181;
Isaiah Canaan;PHO;19;15;503;51;129;25;72;15;20;5;44;62;12;0;29;46;142;$456733
Isaiah Canaan;MIN;7;1;95;11;29;7;19;4;4;0;5;19;2;1;4;4;33;$198580
Isaiah Canaan;MIL;4;0;31;2;6;2;5;0;0;1;3;3;0;1;2;2;6;$99290
Isaiah Hartenstein;HOU;28;0;221;20;41;2;6;11;14;21;26;15;7;12;13;56;53;$838464
Isaiah Hicks;NYK;3;0;32;4;8;0;0;4;5;2;5;2;1;3;1;5;12;
Isaiah Thomas;DEN;12;0;181;34;99;12;43;17;27;5;8;23;5;1;18;17;97;$2029463
Ish Smith;DET;56;0;1251;205;489;44;135;47;62;23;122;203;28;11;61;109;501;$6000000
Ivan Rabb;MEM;49;13;721;116;212;3;15;49;69;70;136;54;17;14;35;90;284;$1378242
Ivica Zubac;TOT;59;37;1040;212;379;0;0;101;126;115;247;63;14;51;70;137;525;
Ivica Zubac;LAL;33;12;516;112;193;0;0;57;66;54;108;25;4;27;33;73;281;
Ivica Zubac;LAC;26;25;524;100;186;0;0;44;60;61;139;38;10;24;37;64;244;$1544951
J.J. Barea;DAL;38;0;752;161;385;38;128;55;78;13;82;211;22;1;72;50;415;$3710850
J.J. Redick;PHI;76;63;2379;452;1027;240;605;228;255;20;166;206;32;17;101;129;1372;$12250000
J.P. Macura;CHO;2;0;17;3;9;0;4;0;0;0;3;2;0;0;0;0;6;
J.R. Smith;CLE;11;4;222;27;79;12;39;8;10;0;18;21;11;3;11;19;74;$14720000
Jabari Parker;WAS;25;0;682;149;285;24;81;52;76;38;142;68;23;16;67;58;374;$20000000
Jabari Parker;TOT;64;17;1724;369;749;61;195;131;184;79;342;152;46;30;151;145;930;
Jabari Parker;CHI;39;17;1042;220;464;37;114;79;108;41;200;84;23;14;84;87;556;
Jacob Evans;GSW;30;1;204;18;53;4;15;0;1;6;19;23;5;3;11;28;40;$1644240
Jae Crowder;UTA;80;11;2166;318;797;173;522;142;197;60;324;133;64;31;85;170;951;$7305825
Jahlil Okafor;NOP;59;24;935;212;362;1;5;59;89;82;196;40;15;40;52;96;484;$1567007
JaKarr Sampson;CHI;4;0;127;29;54;5;14;17;21;5;27;4;4;3;4;8;80;$88531
Jake Layman;POR;71;33;1327;216;424;59;181;50;71;56;161;53;31;30;46;116;541;$1544951
Jakob Poeltl;SAS;77;24;1273;187;290;0;0;49;92;178;232;93;29;68;48;124;423;$2947320
Jalen Brunson;DAL;73;38;1591;264;565;63;181;87;120;25;144;230;37;4;88;127;678;$1230000
Jalen Jones;CLE;16;0;214;26;62;10;28;19;27;11;23;7;9;2;8;27;81;
Jamal Crawford;PHO;64;0;1211;174;438;67;202;93;110;8;77;229;33;12;99;75;508;$2393887
Jamal Murray;DEN;75;74;2447;513;1173;152;414;189;223;65;252;363;67;27;158;153;1367;$3499800
James Ennis;TOT;58;27;1230;138;294;55;156;58;81;60;122;41;41;23;34;150;389;
James Ennis;HOU;40;25;949;104;211;44;120;42;58;37;80;27;38;16;23;111;294;
James Ennis;PHI;18;2;281;34;83;11;36;16;23;23;42;14;3;7;11;39;95;$1621415
James Harden;HOU;78;78;2867;843;1909;378;1028;754;858;66;452;586;158;58;387;244;2818;$30431854
James Johnson;MIA;55;33;1164;164;379;50;149;50;70;22;154;135;35;27;74;114;428;$14651700
James Nunnally;MIN;13;0;64;9;21;5;13;4;4;0;4;5;1;0;1;4;27;$655632
James Nunnally;TOT;15;0;102;12;34;8;25;4;4;0;5;7;1;0;1;10;36;
James Nunnally;HOU;2;0;38;3;13;3;12;0;0;0;1;2;0;0;0;6;9;
JaMychal Green;LAC;24;2;471;79;164;33;80;17;21;32;125;14;12;8;23;70;208;$7866667
JaMychal Green;TOT;65;6;1371;230;476;71;176;80;101;104;305;50;45;34;87;193;611;
JaMychal Green;MEM;41;4;900;151;312;38;96;63;80;72;180;36;33;26;64;123;403;
Jared Dudley;BRK;59;25;1220;101;239;53;151;32;46;34;121;83;36;16;43;131;287;$9530000
Jared Terrell;MIN;14;0;111;12;39;4;17;3;6;1;5;12;3;2;10;16;31;
Jarell Martin;ORL;42;1;328;43;104;20;57;9;11;11;62;18;3;8;11;51;115;$2416222
Jaren Jackson;MEM;58;56;1515;298;589;51;142;151;197;73;199;64;52;82;98;220;798;$5915040
Jaron Blossomgame;CLE;27;4;439;47;106;10;39;10;13;26;72;13;7;8;11;20;114;
Jarred Vanderbilt;DEN;17;0;69;9;19;0;1;6;10;7;16;3;6;1;8;8;24;$838464
Jarrett Allen;BRK;80;80;2096;335;568;6;45;197;278;191;481;110;43;120;103;184;873;$2034120
Jason Smith;TOT;20;1;190;21;59;9;26;14;16;16;36;14;3;7;13;30;65;
Jason Smith;WAS;12;1;130;15;37;4;10;10;12;11;26;12;1;5;7;21;44;
Jason Smith;MIL;6;0;40;4;13;3;9;2;2;3;8;1;2;2;5;6;13;
Jason Smith;NOP;2;0;20;2;9;2;7;2;2;2;2;1;0;0;1;3;8;$5450000
JaVale McGee;LAL;75;62;1671;400;641;1;12;96;152;195;371;52;47;148;108;208;897;$2393887
Jawun Evans;TOT;8;0;65;3;14;0;3;0;0;1;11;10;3;0;6;8;6;
Jawun Evans;PHO;7;0;64;3;13;0;2;0;0;1;11;10;3;0;6;8;6;
Jawun Evans;OKC;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
Jaylen Adams;ATL;34;1;428;38;110;25;74;7;9;11;49;65;14;5;28;45;108;$236854
Jaylen Brown;BOS;74;25;1913;368;792;95;276;133;202;65;248;100;69;32;99;186;964;$5169960
Jaylen Morris;MIL;4;0;29;4;10;1;3;1;2;0;5;4;2;0;1;1;10;
Jayson Tatum;BOS;79;79;2455;466;1036;116;311;195;228;70;407;168;84;57;122;168;1243;$6700800
Jeff Green;WAS;77;44;2097;326;687;111;320;183;206;57;252;137;43;39;101;160;946;$2393887
Jeff Teague;MIN;42;41;1264;176;416;35;105;123;153;16;90;343;43;18;97;90;510;$19000000
Jemerrio Jones;LAL;6;2;143;12;33;2;10;1;2;16;33;13;7;5;5;10;27;
Jerami Grant;OKC;80;77;2612;409;823;115;293;157;221;96;321;79;61;100;67;214;1090;$8653847
Jeremy Lamb;CHO;79;55;2250;431;979;115;330;231;260;65;369;172;88;32;80;140;1208;$7488372
Jeremy Lin;ATL;51;1;1003;180;386;44;132;142;168;16;103;181;38;7;98;96;546;$13768421
Jeremy Lin;TOT;74;4;1436;238;541;55;187;176;210;22;157;231;47;13;124;144;707;
Jeremy Lin;TOR;23;3;433;58;155;11;55;34;42;6;54;50;9;6;26;48;161;$697000
Jerian Grant;ORL;60;1;939;92;220;40;110;26;40;19;79;156;44;6;51;78;250;$2639314
Jerome Robinson;LAC;33;0;320;44;110;18;57;6;9;3;38;19;11;3;13;46;112;$3046200
Jerryd Bayless;MIN;34;6;657;82;230;29;98;16;28;11;51;119;18;2;32;56;209;$8575916
Jevon Carter;MEM;39;3;577;56;185;34;102;26;32;14;52;69;26;11;33;55;172;$838464
Jimmer Fredette;PHO;6;0;65;8;29;0;13;6;6;1;6;8;3;0;5;5;22;$198580
Jimmy Butler;PHI;55;55;1824;344;747;50;148;264;304;105;185;220;99;29;81;93;1002;$20445779
Jimmy Butler;TOT;65;65;2185;418;904;67;193;312;365;121;221;263;123;39;95;111;1215;
Jimmy Butler;MIN;10;10;361;74;157;17;45;48;61;16;36;43;24;10;14;18;213;
Joakim Noah;MEM;42;1;693;110;213;0;1;78;109;58;180;89;20;31;50;96;298;$1731173
Jodie Meeks;TOR;8;0;104;21;39;8;18;1;1;1;11;8;1;1;2;5;51;$196724
Jodie Meeks;TOR;8;0;104;21;39;8;18;1;1;1;11;8;1;1;2;5;51;$122953
Joe Chealey;CHO;1;0;8;1;3;0;0;0;0;0;0;1;0;0;0;1;2;
Joe Harris;BRK;76;76;2293;374;748;183;386;110;133;52;239;181;38;17;121;182;1041;$8333333
Joe Ingles;UTA;82;82;2568;359;802;189;483;87;123;35;295;469;98;20;193;180;994;$13045455
Joel Embiid;PHI;64;64;2154;580;1199;79;263;522;649;160;711;234;46;122;226;211;1761;$25467250
John Collins;ATL;61;59;1829;465;831;55;158;203;266;219;376;121;22;39;120;199;1188;$2299080
John Henson;MIL;14;0;188;31;67;11;31;6;10;16;55;14;7;11;12;16;79;
John Holland;CLE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
John Jenkins;TOT;26;0;333;42;105;22;58;15;18;6;31;22;0;2;9;10;121;
John Jenkins;WAS;4;0;14;2;2;2;2;0;0;0;1;1;0;0;0;0;6;$99290
John Jenkins;NYK;22;0;319;40;103;20;56;15;18;6;30;21;0;2;9;10;115;$99290
John Jenkins;NYK;22;0;319;40;103;20;56;15;18;6;30;21;0;2;9;10;115;$99290
John Wall;WAS;32;32;1104;245;552;51;169;122;175;15;101;279;49;29;121;71;663;$19169800
Johnathan Motley;LAC;22;0;156;39;73;0;3;24;40;18;33;11;5;3;16;27;102;
Johnathan Williams;LAL;24;0;372;65;110;0;2;27;48;48;51;13;8;7;16;62;157;
Jon Leuer;DET;41;1;402;66;113;1;11;23;31;27;70;14;12;4;23;60;156;$10002681
Jonah Bolden;PHI;44;10;639;80;162;34;96;13;27;47;118;40;17;39;36;99;207;$1690000
Jonas Jerebko;GSW;73;6;1218;163;355;69;188;64;80;72;216;96;27;18;43;137;459;$2165481
Jonas Valanciunas;TOT;49;27;1091;301;538;14;48;147;185;106;313;70;19;53;90;146;763;
Jonas Valanciunas;TOR;30;10;564;149;259;9;30;77;94;54;162;29;13;23;39;82;384;
Jonas Valanciunas;MEM;19;17;527;152;279;5;18;70;91;52;151;41;6;30;51;64;379;$16539326
Jonathan Isaac;ORL;75;64;1996;262;611;86;266;110;135;99;312;80;59;98;75;143;720;$4969080
Jonathon Simmons;TOT;56;9;1064;133;350;28;104;72;97;27;99;128;29;15;68;89;366;
Jonathon Simmons;ORL;41;9;845;104;286;19;83;56;72;23;77;95;18;14;56;68;283;
Jonathon Simmons;PHI;15;0;219;29;64;9;21;16;25;4;22;33;11;1;12;21;83;$6000000
Jordan Bell;GSW;68;3;788;99;192;0;2;25;41;55;129;76;20;51;42;80;223;$1378252
Jordan Clarkson;CLE;81;0;2214;529;1180;144;445;162;192;82;188;196;57;13;135;112;1364;$12500000
Jordan Loyd;TOR;12;0;55;8;18;4;8;9;11;1;8;6;0;0;2;5;29;
Jordan McRae;WAS;27;0;333;61;130;10;35;28;35;6;34;30;13;7;15;26;160;
Jordan Sibert;ATL;1;0;4;1;1;1;1;0;0;0;0;0;0;0;0;0;3;$47371
Jose Calderon;DET;49;0;632;45;120;14;57;9;11;11;49;115;16;3;35;64;113;$2393887
Josh Hart;LAL;67;22;1715;189;464;92;274;55;80;35;213;93;64;40;58;147;525;$1655160
Josh Jackson;PHO;79;29;1988;347;841;73;225;143;213;66;281;183;74;56;173;209;910;$6041520
Josh Okogie;MIN;74;52;1757;196;508;60;215;118;162;41;177;91;88;33;63;166;570;$2160720
Josh Richardson;MIA;73;73;2539;423;1026;164;460;199;231;54;209;298;79;34;113;200;1209;$9367200
Jrue Holiday;NOP;67;67;2402;547;1159;118;363;208;271;75;259;518;109;54;210;148;1420;$25976111
Juan Hernangomez;DEN;70;25;1358;138;314;66;181;66;86;64;201;55;27;24;37;94;408;$2166360
Julian Washburn;MEM;18;3;254;16;48;5;24;3;4;8;33;14;13;2;7;16;40;
Julius Randle;NOP;73;49;2232;571;1089;67;195;356;487;162;472;229;52;45;208;246;1565;$8641000
Justin Anderson;ATL;48;4;463;64;157;24;77;26;35;24;60;23;22;13;23;48;178;$2516048
Justin Holiday;MEM;44;39;1282;149;383;65;195;54;60;27;127;61;54;15;57;85;417;$4384616
Justin Holiday;TOT;82;77;2607;300;777;162;465;95;106;46;277;146;121;36;104;164;857;
Justin Holiday;CHI;38;38;1325;151;394;97;270;41;46;19;150;85;67;21;47;79;440;
Justin Jackson;DAL;29;11;531;92;190;32;86;21;29;19;47;28;9;1;7;32;237;$2807880
Justin Jackson;TOT;81;14;1614;217;485;87;245;62;79;44;168;96;32;14;29;99;583;
Justin Jackson;SAC;52;3;1083;125;295;55;159;41;50;25;121;68;23;13;22;67;346;
Justin Patton;PHI;3;0;21;2;7;0;2;1;2;2;4;3;2;0;0;5;5;$2667600
Justise Winslow;MIA;66;52;1959;324;749;96;256;86;137;63;292;282;72;19;142;177;830;$3448926
Jusuf Nurkic;POR;72;72;1974;420;826;3;29;282;365;243;505;233;71;103;168;250;1125;$11111111
Kadeem Allen;NYK;19;1;416;65;141;17;36;42;54;8;43;76;16;4;26;46;189;
Kalin Lucas;DET;1;0;6;0;1;0;1;2;2;0;3;1;0;0;0;1;2;
Karl-Anthony Towns;MIN;77;77;2545;681;1314;142;355;376;450;263;691;259;67;125;240;292;1880;$7839435
Kawhi Leonard;TOR;60;60;2040;560;1129;112;302;364;426;78;361;199;106;24;121;87;1596;$23114067
Keita Bates-Diop;MIN;30;3;503;60;142;13;52;18;28;16;67;17;18;14;14;29;151;$838464
Kelly Olynyk;MIA;79;36;1812;261;564;113;319;152;185;72;303;140;53;37;114;183;787;$12137527
Kelly Oubre;PHO;40;12;1180;243;537;67;206;121;159;47;149;64;57;39;73;110;674;$3208630
Kelly Oubre;TOT;69;19;1935;375;842;108;338;189;244;71;254;84;84;59;103;181;1047;
Kelly Oubre;WAS;29;7;755;132;305;41;132;68;85;24;105;20;27;20;30;71;373;
Kemba Walker;CHO;82;82;2863;731;1684;260;731;380;450;52;309;484;102;34;211;131;2102;$12000000
Kenneth Faried;BRK;12;0;118;25;42;1;5;10;16;15;29;2;2;4;6;8;61;$13764045
Kenneth Faried;TOT;37;13;728;156;265;8;25;64;99;97;153;20;17;23;33;82;384;
Kenneth Faried;HOU;25;13;610;131;223;7;20;54;83;82;124;18;15;19;27;74;323;$917272
Kenrich Williams;NOP;46;29;1079;107;279;52;156;13;19;55;164;83;45;19;36;95;279;$838464
Kent Bazemore;ATL;67;35;1643;278;691;96;300;127;175;37;224;152;89;42;121;170;779;$18089887
Kentavious Caldwell-Pope;LAL;82;23;2035;325;756;151;435;137;158;48;190;110;73;13;65;137;938;$12000000
Kevin Durant;GSW;78;78;2702;721;1383;137;388;448;506;33;464;457;58;84;225;155;2027;$30000000
Kevin Huerter;ATL;75;59;2048;275;657;136;353;41;56;60;185;214;65;25;109;155;727;$2250960
Kevin Knox;NYK;75;57;2158;338;914;125;364;162;226;61;274;82;43;24;114;175;963;$3739920
Kevin Love;CLE;22;21;598;109;283;53;147;103;114;33;206;48;6;5;42;54;374;$24119025
Kevon Looney;GSW;80;24;1481;217;347;1;10;65;105;194;223;123;46;53;51;211;500;$1567007
Khem Birch;ORL;50;1;643;91;151;0;1;58;83;79;111;38;18;29;20;72;240;$1378242
Khris Middleton;MIL;77;77;2393;506;1148;179;474;216;258;50;411;331;80;7;174;172;1407;$13000000
Khyri Thomas;DET;26;0;195;22;69;10;35;7;11;4;16;8;7;5;4;22;61;$838464
Klay Thompson;GSW;78;78;2652;655;1402;241;599;129;158;37;262;186;84;47;115;157;1680;$18988725
Kobi Simmons;CLE;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;$76236
Kosta Koufos;SAC;42;1;502;73;153;0;0;10;24;52;125;36;15;18;27;68;156;$8739500
Kostas Antetokounmpo;DAL;2;0;11;0;3;0;0;2;4;0;1;0;2;0;1;0;2;
Kris Dunn;CHI;46;44;1389;215;506;34;96;55;69;19;168;277;68;21;104;166;519;$4221000
Kyle Anderson;MEM;43;40;1281;150;276;9;34;37;64;48;203;128;54;37;58;112;346;$8641000
Kyle Korver;UTA;54;0;1083;166;407;113;294;47;57;9;124;64;22;10;42;84;492;$7560000
Kyle Korver;TOT;70;0;1334;201;483;138;348;60;73;9;153;81;25;12;59;106;600;
Kyle Korver;CLE;16;0;251;35;76;25;54;13;16;0;29;17;3;2;17;22;108;
Kyle Kuzma;LAL;70;68;2314;496;1087;128;422;188;250;60;322;178;41;26;133;170;1308;$1689840
Kyle Lowry;TOR;65;65;2213;304;739;157;453;161;194;41;271;564;91;31;182;166;926;$31200000
Kyle O'Quinn;IND;45;3;371;69;136;1;12;17;21;29;90;56;9;25;31;68;156;$4449000
Kyrie Irving;BOS;67;67;2214;604;1241;174;434;214;245;71;264;464;103;34;172;167;1596;$20099189
LaMarcus Aldridge;SAS;81;81;2687;684;1319;10;42;349;412;251;493;194;43;107;144;179;1727;$22347015
Lance Stephenson;LAL;68;3;1123;184;432;73;197;50;73;32;183;140;41;7;86;111;491;$4449000
Lance Thomas;NYK;46;17;783;78;197;22;79;27;36;21;96;27;17;7;24;83;205;$7119650
Landry Shamet;TOT;79;27;1802;240;557;167;396;75;93;21;113;117;37;10;45;155;722;
Landry Shamet;PHI;54;4;1108;153;347;99;245;44;54;14;64;59;24;8;26;106;449;
Landry Shamet;LAC;25;23;694;87;210;68;151;31;39;7;49;58;13;2;19;49;273;$1703640
Langston Galloway;DET;80;4;1745;228;587;135;380;81;96;49;122;85;37;8;24;135;672;$7000000
Larry Nance;CLE;67;30;1795;249;479;33;98;96;134;168;384;214;100;40;97;192;627;$2272391
Lauri Markkanen;CHI;52;51;1682;342;795;120;332;170;195;74;396;75;37;33;85;122;974;$4536120
LeBron James;LAL;55;55;1937;558;1095;111;327;278;418;57;408;454;72;33;197;94;1505;$35654150
Lonnie Walker;SAS;17;0;118;16;46;5;13;8;10;0;17;9;7;3;4;7;45;$2357160
Lonzo Ball;LAL;47;45;1423;185;456;75;228;20;48;54;197;255;69;19;103;114;465;$7461960
Lorenzo Brown;TOR;26;0;212;23;71;6;28;3;3;5;26;28;12;5;16;22;55;$800000
Lou Williams;LAC;75;1;1993;484;1138;105;291;425;485;40;182;402;57;11;181;80;1498;$8000000
Luc Mbah a Moute;LAC;4;0;61;8;18;2;6;2;5;2;5;2;1;1;2;8;20;$4320500
Luka Doncic;DAL;72;72;2318;506;1186;168;514;346;485;86;477;429;77;25;247;137;1526;$6560640
Luke Kennard;DET;63;10;1437;228;520;106;269;51;61;12;171;114;26;10;57;92;613;$3275280
Luke Kornet;NYK;46;18;784;107;283;70;193;38;46;28;107;54;27;42;25;41;322;$1619000
Luol Deng;MIN;22;2;392;59;118;14;44;25;35;20;53;18;15;8;14;24;157;$2393887
Malachi Richardson;TOR;22;0;103;9;29;8;25;4;5;2;11;0;1;0;8;13;30;
Malcolm Brogdon;MIL;64;64;1832;378;748;104;244;141;152;65;223;205;46;13;91;102;1001;$1544951
Malcolm Miller;TOR;10;0;67;11;26;10;21;3;4;1;4;1;1;1;1;5;35;$457418
Malik Beasley;DEN;81;18;1879;349;737;163;405;56;66;35;165;97;55;10;55;116;917;$1773840
Malik Monk;CHO;73;0;1258;227;586;109;330;90;102;16;121;117;37;19;86;106;653;$3447480
Marc Gasol;TOR;26;19;648;87;187;23;52;40;52;24;148;101;24;23;36;70;237;$24119025
Marc Gasol;TOT;79;72;2436;390;870;99;273;192;253;80;547;349;84;86;155;217;1071;
Marc Gasol;MEM;53;53;1788;303;683;76;221;152;201;56;399;248;60;63;119;147;834;
Marcin Gortat;LAC;47;43;751;99;186;0;0;35;48;67;194;65;6;24;50;92;233;$13565218
Marco Belinelli;SAS;79;1;1815;285;690;147;395;112;124;16;182;132;35;8;72;121;829;$6153846
Marcus Derrickson;GSW;11;0;67;16;33;10;20;4;5;8;5;1;0;1;3;9;46;
Marcus Morris;BOS;75;53;2091;377;844;146;389;146;173;76;382;109;43;25;92;181;1046;$5375000
Marcus Smart;BOS;80;60;2200;239;567;126;346;104;129;57;177;321;143;28;123;201;708;$11660716
Mario Hezonja;NYK;58;24;1206;191;464;42;152;87;114;28;211;88;57;8;88;110;511;$6500000
Markelle Fultz;PHI;19;15;427;65;155;4;14;21;37;26;44;59;17;5;25;52;155;
Markieff Morris;TOT;58;16;1270;204;484;68;203;71;92;61;204;79;36;22;54;175;547;
Markieff Morris;WAS;34;15;883;143;328;48;144;57;73;41;133;60;25;20;47;117;391;
Markieff Morris;OKC;24;1;387;61;156;20;59;14;19;20;71;19;11;2;7;58;156;$573295
Marquese Chriss;TOT;43;2;499;67;180;16;72;32;45;40;102;22;17;11;36;81;182;
Marquese Chriss;HOU;16;0;104;11;34;1;15;6;7;7;21;6;2;4;12;17;29;
Marquese Chriss;CLE;27;2;395;56;146;15;57;26;38;33;81;16;15;7;24;64;153;$3206160
MarShon Brooks;MEM;29;0;387;76;169;15;54;23;33;12;33;25;9;4;21;33;190;
Marvin Bagley;SAC;62;4;1567;356;706;30;96;181;262;162;309;62;33;59;98;120;923;$7305600
Marvin Williams;CHO;75;75;2133;275;652;140;382;66;86;76;331;92;71;61;47;156;756;$14087500
Mason Plumlee;DEN;82;17;1731;262;442;2;10;111;198;165;359;243;66;76;126;252;637;$12917808
Matthew Dellavedova;CLE;36;0;715;92;223;40;119;38;48;6;61;152;12;2;57;66;262;$9607500
Matthew Dellavedova;TOT;48;0;812;98;242;44;130;42;52;6;71;181;14;2;68;75;282;
Matthew Dellavedova;MIL;12;0;97;6;19;4;11;4;4;0;10;29;2;0;11;9;20;
Maurice Harkless;POR;60;53;1415;189;388;33;120;49;73;77;192;74;67;53;45;163;460;$10837079
