ime;ekipa;stevilo_tekem;zacetna_postava;minutaza;stevilo_zadetih_metov_iz_igre;stevilo_metov_iz_igre;stevilo_zadetih_trojk;stevilo_trojk;stevilo_zadetih_prostih_metov;stevilo_prostih_metov;skoki_v_napadu;skoki_v_obrambi;podaje;ukradene_zoge;blokade;izgubljene_zoge;osebne_napake;tocke;Placa.placa
Maxi Kleber;DAL;71;18;1502;175;386;77;218;58;74;90;239;70;36;78;54;143;485;$1378242
Melvin Frazier;ORL;10;0;44;7;21;0;6;1;4;3;2;1;1;0;1;6;15;$1050000
Meyers Leonard;POR;61;2;878;132;242;50;111;43;51;49;184;75;13;9;43;105;357;$10595506
Michael Beasley;LAL;26;2;277;75;153;3;17;28;39;13;47;25;9;10;27;42;181;
Michael Carter-Williams;TOT;28;1;372;46;123;10;38;32;53;19;51;70;20;15;20;48;134;
Michael Carter-Williams;HOU;16;1;145;25;61;7;19;12;26;3;10;21;9;6;10;27;69;
Michael Carter-Williams;ORL;12;0;227;21;62;3;19;20;27;16;41;49;11;9;10;21;65;$198580
Michael Kidd-Gilchrist;CHO;64;3;1179;158;332;16;47;95;123;88;158;61;32;39;43;156;427;$13000000
Mikal Bridges;PHO;82;56;2417;242;563;105;313;95;118;56;208;173;129;38;70;201;684;$3552960
Mike Conley;MEM;70;70;2342;490;1120;155;426;343;406;40;199;449;94;22;130;123;1478;$30521116
Mike Muscala;LAL;17;4;265;36;83;21;57;7;8;6;38;14;4;11;5;18;100;$5000000
Mike Muscala;TOT;64;10;1306;145;361;89;256;70;85;57;187;76;22;38;48;130;449;
Mike Muscala;PHI;47;6;1041;109;278;68;199;63;77;51;149;62;18;27;43;112;349;
Mike Scott;TOT;79;3;1395;168;420;101;252;22;33;43;233;66;26;13;44;156;459;
Mike Scott;LAC;52;0;748;92;230;52;133;12;18;24;150;44;17;8;27;88;248;
Mike Scott;PHI;27;3;647;76;190;49;119;10;15;19;83;22;9;5;17;68;211;$4320500
Miles Bridges;CHO;80;25;1696;237;511;65;200;58;77;67;256;95;55;49;50;111;597;$3206640
Miles Plumlee;ATL;18;0;173;32;48;0;0;16;30;16;23;17;6;4;10;14;80;$12500000
Milos Teodosic;LAC;15;0;150;17;40;10;27;4;7;3;13;32;3;1;21;27;48;$6300000
Mitch Creek;TOT;5;0;48;8;16;0;2;5;7;6;6;6;2;0;1;3;21;
Mitch Creek;BRK;4;0;36;5;10;0;1;5;7;5;5;5;1;0;0;3;15;$94742
Mitch Creek;MIN;1;0;12;3;6;0;1;0;0;1;1;1;1;0;1;0;6;$47371
Mitchell Robinson;NYK;66;19;1360;202;291;0;0;81;135;177;246;37;52;161;35;217;485;$1485440
Mohamed Bamba;ORL;47;1;766;117;243;21;70;37;63;64;169;39;13;64;43;102;292;$4865040
Monte Morris;DEN;82;6;1970;346;702;94;227;65;81;35;159;297;73;4;52;102;851;$1349383
Montrezl Harrell;LAC;82;5;2158;546;888;3;17;266;414;184;351;162;71;110;132;255;1361;$6000000
Moritz Wagner;LAL;43;5;446;71;171;22;77;43;53;17;68;24;11;13;39;57;207;$1762080
Myles Turner;IND;74;74;2119;380;780;76;196;148;201;101;430;115;60;199;100;195;984;$3410284
Naz Mitrou-Long;UTA;14;0;84;6;20;2;11;2;2;1;5;15;1;1;8;10;16;
Nemanja Bjelica;SAC;77;70;1788;284;593;103;257;70;92;125;319;147;54;56;82;197;741;$6500000
Nene Hilario;HOU;42;2;546;60;116;0;3;31;47;34;89;26;18;15;11;87;151;$3651480
Nerlens Noel;OKC;77;2;1055;162;276;0;0;54;79;127;198;45;66;96;48;166;378;$1757429
Nick Young;DEN;4;0;37;3;9;3;8;0;0;0;1;2;0;1;2;4;9;$311070
Nicolas Batum;CHO;75;72;2354;253;562;116;298;77;89;71;319;247;71;43;117;140;699;$24000000
Nik Stauskas;TOT;68;0;1015;136;338;70;188;57;64;18;109;81;21;7;51;50;399;
Nik Stauskas;POR;44;0;673;96;229;43;125;32;36;10;70;62;14;4;40;31;267;
Nik Stauskas;CLE;24;0;342;40;109;27;63;25;28;8;39;19;7;3;11;19;132;$540472
Nikola Jokic;DEN;80;80;2504;616;1206;83;270;289;352;228;637;580;108;55;248;228;1604;$24605181
Nikola Mirotic;MIL;14;3;320;56;135;31;87;20;23;14;61;20;10;9;11;21;163;$12500000
Nikola Mirotic;TOT;46;25;1245;238;542;116;318;105;124;60;279;55;31;34;48;107;697;
Nikola Mirotic;NOP;32;22;925;182;407;85;231;85;101;46;218;35;21;25;37;86;534;
Nikola Vucevic;ORL;80;80;2510;701;1354;84;231;179;227;224;736;307;81;89;159;157;1665;$12750000
Noah Vonleh;NYK;68;57;1722;207;440;46;137;111;156;113;415;129;46;51;88;174;571;$1621415
Norman Powell;TOR;60;3;1126;193;400;68;170;62;75;16;123;91;39;13;65;96;516;$9367200
OG Anunoby;TOR;67;6;1352;183;404;67;202;36;62;58;139;47;46;22;55;140;469;$1952760
Okaro White;WAS;3;0;6;0;2;0;2;0;0;1;1;0;0;0;0;0;0;$264919
Omari Spellman;ATL;46;11;805;98;244;44;128;32;45;72;122;47;26;25;31;67;272;$1620480
Omri Casspi;MEM;36;0;520;86;161;15;43;39;58;17;98;26;20;9;23;35;226;$2176260
Otto Porter;CHI;15;15;492;97;201;39;80;29;32;14;69;40;18;9;25;29;262;$26011913
Otto Porter;TOT;56;43;1683;299;643;104;256;78;96;54;260;120;82;31;65;108;780;
Otto Porter;WAS;41;28;1191;202;442;65;176;49;64;40;191;80;64;22;40;79;518;
P.J. Tucker;HOU;82;82;2802;207;523;146;387;41;59;121;358;96;132;39;63;252;601;$7969537
Pascal Siakam;TOR;80;79;2548;519;945;79;214;237;302;124;425;248;73;52;154;241;1354;$1544951
Pat Connaughton;MIL;61;2;1261;163;350;66;200;29;40;61;197;122;33;25;33;81;421;$1641000
Patrick Beverley;LAC;78;49;2137;194;477;112;282;96;123;76;312;300;67;43;85;265;596;$5027028
Patrick McCaw;TOT;29;1;397;26;63;9;28;13;15;7;41;29;23;2;17;38;74;
Patrick McCaw;CLE;3;0;53;2;9;1;4;0;0;0;3;2;2;0;3;1;5;$323529
Patrick McCaw;TOR;26;1;344;24;54;8;24;13;15;7;38;27;21;2;14;37;69;$786000
Patrick Patterson;OKC;63;5;861;82;219;46;137;19;30;42;105;31;16;13;22;46;229;$5451600
Patty Mills;SAS;82;1;1908;282;663;159;404;88;103;24;158;245;49;10;93;129;811;$11571429
Pau Gasol;SAS;27;6;330;41;88;5;10;27;38;22;105;50;5;14;14;28;114;$15100000
Pau Gasol;TOT;30;6;360;42;94;6;13;28;40;22;115;52;5;15;16;29;118;
Pau Gasol;MIL;3;0;30;1;6;1;3;1;2;0;10;2;0;1;2;1;4;$527467
Paul George;OKC;77;77;2841;707;1614;292;757;453;540;105;523;318;170;34;205;214;2159;$30560700
Paul Millsap;DEN;70;65;1895;322;665;58;159;181;249;153;352;141;83;54;95;183;883;$29730769
PJ Dozier;BOS;6;0;51;8;21;2;8;1;2;6;11;5;2;0;0;2;19;
Quincy Acy;PHO;10;0;123;4;18;2;15;7;10;3;22;8;1;4;4;24;17;$213949
Quincy Pondexter;SAS;53;0;292;29;58;6;18;34;42;8;38;24;11;1;13;24;98;$2165481
Quinn Cook;GSW;74;10;1059;204;439;81;200;20;26;22;135;116;20;3;50;92;509;$1544951
R.J. Hunter;BOS;1;0;26;6;13;4;10;1;2;1;2;3;1;0;0;3;17;
Rajon Rondo;LAL;46;29;1369;175;432;51;142;23;36;34;209;367;57;7;127;100;424;$9000000
Raul Neto;UTA;37;1;474;74;161;20;60;28;33;6;56;93;14;4;35;49;196;$2150000
Rawle Alkins;CHI;10;1;120;13;39;3;12;8;12;11;15;13;1;0;8;7;37;
Ray Spalding;TOT;14;3;148;25;47;0;3;4;12;15;33;5;9;8;9;23;54;
Ray Spalding;DAL;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;$838464
Ray Spalding;PHO;13;3;147;25;47;0;3;4;12;15;33;5;9;8;9;23;54;$184746
Ray Spalding;PHO;13;3;147;25;47;0;3;4;12;15;33;5;9;8;9;23;54;$47371
Raymond Felton;OKC;33;0;379;55;135;20;61;12;13;4;30;52;10;6;14;29;142;$2393887
Reggie Bullock;TOT;63;60;1879;245;594;148;393;73;85;22;151;129;40;12;65;109;711;
Reggie Bullock;DET;44;44;1355;182;441;114;294;56;64;20;103;109;24;5;54;79;534;
Reggie Bullock;LAL;19;16;524;63;153;34;99;17;21;2;48;20;16;7;11;30;177;$2500000
Reggie Jackson;DET;82;82;2289;441;1047;174;471;204;236;45;171;344;55;9;148;208;1260;$17043478
Richaun Holmes;PHO;70;4;1184;222;365;0;0;128;175;115;216;60;42;79;52;194;572;$1600520
Ricky Rubio;UTA;68;67;1899;295;730;79;254;195;228;33;210;416;91;10;180;180;864;$14975000
Robert Covington;MIN;22;22;763;106;245;55;148;51;66;21;105;32;50;24;25;81;318;$10464092
Robert Covington;TOT;35;35;1203;156;362;85;225;68;89;28;165;46;74;47;47;126;465;
Robert Covington;PHI;13;13;440;50;117;30;77;17;23;7;60;14;24;23;22;45;147;
Robert Williams;BOS;32;2;283;36;51;0;0;9;15;27;54;7;9;40;10;36;81;$1654440
Robin Lopez;CHI;74;36;1606;304;535;7;31;89;123;140;146;89;11;78;96;124;704;$14357750
Rodions Kurucs;BRK;63;46;1294;202;449;58;184;72;92;56;190;52;41;25;77;146;534;$1618320
Rodney Hood;POR;27;4;659;98;217;29;84;33;41;7;38;34;21;7;19;45;258;$3472887
Rodney Hood;TOT;72;49;1893;292;671;84;236;137;155;25;132;126;59;12;55;146;805;
Rodney Hood;CLE;45;45;1234;194;454;55;152;104;114;18;94;92;38;5;36;101;547;
Rodney McGruder;MIA;66;45;1550;186;461;79;225;52;72;60;178;112;36;12;64;115;503;
Ron Baker;TOT;15;0;152;4;20;1;13;5;6;1;10;15;6;1;5;18;14;
Ron Baker;NYK;11;0;107;4;16;1;9;5;6;1;6;13;5;0;3;16;14;$4544400
Ron Baker;WAS;4;0;45;0;4;0;4;0;0;0;4;2;1;1;2;2;0;$170915
Rondae Hollis-Jefferson;BRK;59;21;1234;200;487;9;49;118;183;83;227;96;44;27;68;107;527;$2470357
Royce O'Neale;UTA;82;16;1671;163;343;68;176;32;42;22;263;124;54;24;70;172;426;$1378242
Rudy Gay;SAS;69;51;1842;376;746;74;184;120;147;63;407;182;54;34;114;159;946;$10087200
Rudy Gobert;UTA;81;80;2577;476;712;0;0;332;522;309;732;161;66;187;130;231;1284;$23241573
Russell Westbrook;OKC;73;73;2630;630;1473;119;411;296;451;109;698;784;142;33;325;245;1675;$35654150
Ryan Anderson;TOT;25;8;322;21;69;9;40;12;16;18;36;19;4;1;14;25;63;
Ryan Anderson;PHO;15;8;278;19;60;7;34;11;14;14;31;17;3;1;12;23;56;
Ryan Anderson;MIA;10;0;44;2;9;2;6;1;2;4;5;2;1;0;2;2;7;$20421546
Ryan Arcidiacono;CHI;81;32;1961;187;418;81;217;89;102;27;192;269;65;4;63;171;544;$1349383
Ryan Broekhoff;DAL;42;0;453;57;126;38;93;15;19;8;55;22;6;4;16;35;167;$838464
Salah Mejri;DAL;36;4;399;55;112;11;34;20;32;36;95;35;10;26;21;55;141;$1567007
Sam Dekker;TOT;47;5;788;120;256;19;62;28;46;53;95;46;38;7;24;47;287;
Sam Dekker;CLE;9;5;169;22;48;5;13;8;10;9;24;9;11;0;5;13;57;
Sam Dekker;WAS;38;0;619;98;208;14;49;20;36;44;71;37;27;7;19;34;230;$2760095
Scott Machado;LAL;4;0;19;4;6;1;1;1;1;0;0;3;1;0;0;2;10;$47371
Semi Ojeleye;BOS;56;3;594;67;158;28;89;24;39;24;62;23;10;4;19;43;186;$1378242
Serge Ibaka;TOR;74;51;2010;464;877;49;169;135;177;156;445;99;29;103;114;211;1112;$21666667
Seth Curry;POR;74;2;1399;212;465;113;251;44;52;27;93;66;36;12;61;97;581;$2795000
Shabazz Napier;BRK;56;2;983;169;435;76;228;115;138;18;82;143;41;16;66;67;529;$1942422
Shai Gilgeous-Alexander;LAC;82;73;2174;341;716;51;139;156;195;57;175;270;96;45;141;175;889;$3375360
Shake Milton;PHI;20;0;268;34;87;14;44;5;7;9;26;18;8;8;6;29;87;
Shaquille Harrison;CHI;73;11;1430;184;426;24;89;82;123;33;189;139;89;30;60;124;474;$1311265
Shaun Livingston;GSW;64;0;967;109;210;0;2;40;51;42;75;114;31;27;38;74;258;$8307692
Shelvin Mack;CHO;4;0;42;2;14;0;2;5;9;0;2;1;2;0;4;3;9;$2029463
Shelvin Mack;TOT;57;3;1246;163;403;46;130;58;84;18;86;183;47;4;66;84;430;
Shelvin Mack;MEM;53;3;1204;161;389;46;128;53;75;18;84;182;45;4;62;81;421;
Sindarius Thornwell;LAC;64;1;313;17;49;3;15;25;34;5;39;18;14;7;20;41;62;$1378242
Skal Labissiere;TOT;22;1;176;26;49;6;13;9;17;9;34;11;5;6;11;29;67;
Skal Labissiere;SAC;13;0;113;13;30;4;11;6;11;4;20;6;2;3;7;21;36;
Skal Labissiere;POR;9;1;63;13;19;2;2;3;6;5;14;5;3;3;4;8;31;$1544951
Solomon Hill;NOP;44;15;878;68;178;32;101;23;32;34;99;55;23;10;31;80;191;$12252928
Spencer Dinwiddie;BRK;68;4;1914;366;828;124;370;287;356;26;140;311;40;17;152;187;1143;$1656092
Stanley Johnson;NOP;18;0;247;38;91;11;34;9;13;9;33;28;12;1;26;22;96;$3940402
Stanley Johnson;TOT;66;7;1208;171;440;62;215;50;64;34;183;88;60;14;81;114;454;
Stanley Johnson;DET;48;7;961;133;349;51;181;41;51;25;150;60;48;13;55;92;358;
Stephen Curry;GSW;69;69;2331;632;1340;354;810;263;287;45;324;361;92;25;192;166;1881;$37457154
Sterling Brown;MIL;58;7;1034;145;312;53;147;29;42;29;155;84;25;8;46;88;372;$1378242
Steven Adams;OKC;80;80;2669;481;809;0;2;146;292;391;369;124;117;76;135;204;1108;$24157304
Sviatoslav Mykhailiuk;DET;3;0;20;2;8;2;4;0;0;1;1;4;1;0;1;0;6;$1487694
Sviatoslav Mykhailiuk;TOT;42;0;440;46;140;29;89;12;20;9;27;37;14;1;21;25;133;
Sviatoslav Mykhailiuk;LAL;39;0;420;44;132;27;85;12;20;8;26;33;13;1;20;25;127;
T.J. Leaf;IND;58;1;522;99;183;8;31;19;31;43;82;24;9;19;12;35;225;$2407560
T.J. McConnell;PHI;76;3;1470;220;419;14;42;29;37;28;146;258;79;17;91;105;483;$1600520
T.J. Warren;PHO;43;36;1360;297;611;77;180;101;124;31;143;64;51;29;52;119;772;$11750000
Tahjere McCall;BRK;1;0;8;2;3;0;1;0;1;0;1;0;0;0;0;2;4;$47371
Taj Gibson;MIN;70;57;1686;304;537;11;34;134;177;172;286;84;53;39;73;186;753;$14000000
Taurean Waller-Prince;ATL;55;47;1552;262;594;123;315;95;116;22;177;118;53;19;100;141;742;$2526840
Terrance Ferguson;OKC;74;74;1931;185;431;106;290;37;51;33;108;72;40;16;47;231;513;$2118840
Terrence Jones;HOU;2;0;5;1;4;0;2;0;1;0;4;0;0;0;1;1;2;$198580
Terrence Ross;ORL;81;0;2150;440;1027;217;566;126;144;27;253;135;72;29;90;119;1223;$10500000
Terry Rozier;BOS;79;14;1791;258;666;119;337;73;93;32;275;231;68;21;68;101;708;$3050390
Thabo Sefolosha;UTA;50;2;609;71;149;34;78;14;22;8;115;27;43;5;25;41;190;$5250000
Thaddeus Young;IND;81;81;2489;443;841;51;146;87;135;192;331;204;123;36;123;194;1024;$13764045
Theo Pinson;BRK;18;0;211;25;73;12;46;19;22;4;32;21;6;0;18;15;81;
Thomas Bryant;WAS;72;53;1496;309;502;33;99;107;137;113;341;92;25;67;60;126;758;$1378242
Thomas Welsh;DEN;11;0;36;7;13;3;7;1;2;0;4;5;0;0;1;3;18;
Thon Maker;DET;29;5;563;50;134;23;75;36;47;24;82;27;11;33;24;50;159;$2799720
Thon Maker;TOT;64;5;972;109;268;49;153;56;84;41;161;45;21;51;33;105;323;
Thon Maker;MIL;35;0;409;59;134;26;78;20;37;17;79;18;10;18;9;55;164;
Tim Frazier;TOT;59;19;1120;116;261;37;101;41;54;41;127;248;30;5;76;112;310;
Tim Frazier;NOP;47;17;909;88;195;27;77;32;41;32;105;206;25;4;60;93;235;$1621415
Tim Frazier;MIL;12;2;211;28;66;10;24;9;13;9;22;42;5;1;16;19;75;$205098
Tim Hardaway;DAL;19;17;558;108;267;45;140;33;43;7;54;37;12;2;24;35;294;$17325000
Tim Hardaway;TOT;65;63;2057;390;993;162;477;232;276;33;189;159;54;8;105;141;1174;
Tim Hardaway;NYK;46;46;1499;282;726;117;337;199;233;26;135;122;42;6;81;106;880;
Timothe Luwawu-Cabarrot;CHI;29;6;546;69;175;31;94;27;35;7;72;22;15;7;16;59;196;$1544951
Timothe Luwawu-Cabarrot;TOT;50;7;669;82;218;36;116;31;41;11;86;26;19;8;21;73;231;
Timothe Luwawu-Cabarrot;OKC;21;1;123;13;43;5;22;4;6;4;14;4;4;1;5;14;35;
Tobias Harris;PHI;27;27;944;187;399;44;135;74;88;32;181;79;11;13;42;61;492;$14800000
Tobias Harris;TOT;82;82;2847;611;1254;156;393;266;307;69;576;229;51;37;151;184;1644;
Tobias Harris;LAC;55;55;1903;424;855;112;258;192;219;37;395;150;40;24;109;123;1152;
Tomas Satoransky;WAS;80;54;2164;257;530;64;162;131;160;82;197;399;82;13;120;172;709;$3129187
Tony Bradley;UTA;3;0;36;8;16;0;0;1;2;9;6;1;2;2;3;6;17;$1679520
Tony Parker;CHO;56;0;1003;213;463;13;51;91;124;14;69;207;21;7;75;53;530;$5000000
Tony Snell;MIL;74;12;1304;163;361;81;204;37;42;29;128;68;26;18;23;90;444;$10607143
Torrey Craig;DEN;75;37;1503;160;362;61;188;49;70;89;174;72;37;46;44;175;430;$2000000
Trae Young;ATL;81;81;2503;525;1256;156;482;343;414;64;237;653;72;15;308;140;1549;$5356440
Treveon Graham;BRK;35;21;715;64;191;38;128;18;22;23;84;34;13;7;17;68;184;$1512601
Trevon Duval;MIL;3;0;6;2;3;1;1;0;0;0;1;2;0;0;0;0;5;
Trevor Ariza;TOT;69;69;2349;294;736;145;434;130;164;50;321;252;91;21;106;130;863;
Trevor Ariza;PHO;26;26;884;86;227;50;139;36;43;16;129;87;38;8;39;44;258;
Trevor Ariza;WAS;43;43;1465;208;509;95;295;94;121;34;192;165;53;13;67;86;605;$15000000
Trey Burke;TOT;58;8;1125;236;548;56;159;103;124;28;71;159;33;7;49;58;631;
Trey Burke;NYK;33;7;689;148;358;30;86;62;75;15;47;94;21;5;29;33;388;
Trey Burke;DAL;25;1;436;88;190;26;73;41;49;13;24;65;12;2;20;25;243;$1795015
Trey Lyles;DEN;64;2;1120;207;495;51;200;81;116;44;202;87;30;23;68;93;546;$3364249
Tristan Thompson;CLE;43;40;1198;201;380;0;0;68;106;173;265;86;28;16;59;89;470;$17469565
Troy Brown;WAS;52;10;730;97;234;22;69;32;47;35;110;80;21;5;30;56;248;$2749080
Troy Caupain;ORL;4;0;16;4;8;2;3;0;0;1;2;4;1;0;0;0;10;
Troy Daniels;PHO;51;1;760;113;275;74;194;18;23;13;60;26;26;5;27;79;318;$3258539
Troy Williams;SAC;21;0;312;44;98;14;44;9;15;12;47;11;10;8;9;37;111;
Tyler Cavanaugh;UTA;11;0;39;3;10;1;5;2;2;3;5;1;0;0;1;3;9;
Tyler Davis;OKC;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;
Tyler Dorsey;TOT;48;11;698;107;264;44;132;38;61;27;86;56;14;2;27;53;296;
Tyler Dorsey;ATL;27;0;251;32;89;10;39;16;26;9;34;17;7;1;10;20;90;
Tyler Dorsey;MEM;21;11;447;75;175;34;93;22;35;18;52;39;7;1;17;33;206;$1378242
Tyler Johnson;PHO;13;12;406;46;125;18;56;34;39;15;37;54;14;6;14;25;144;$19245370
Tyler Johnson;TOT;57;22;1529;217;526;90;260;95;127;34;139;166;54;27;77;97;619;
Tyler Johnson;MIA;44;10;1123;171;401;72;204;61;88;19;102;112;40;21;63;72;475;
Tyler Lydon;DEN;25;0;94;9;18;4;10;1;3;7;11;6;2;0;4;10;23;$1874640
Tyler Ulis;CHI;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tyler Zeller;TOT;6;1;93;16;30;0;1;14;18;11;13;4;1;3;4;20;46;
Tyler Zeller;ATL;2;0;11;0;2;0;1;0;0;2;4;1;0;0;0;4;0;$106974
Tyler Zeller;MEM;4;1;82;16;28;0;0;14;18;9;9;3;1;3;4;16;46;
Tyreke Evans;IND;69;18;1402;257;660;77;216;115;160;33;168;166;58;18;118;118;706;$12400000
Tyrone Wallace;LAC;62;0;628;92;217;4;19;30;57;20;81;42;21;7;36;83;218;$1349383
Tyson Chandler;PHO;7;0;89;8;12;0;0;10;18;7;32;6;2;1;7;21;26;$13585000
Tyson Chandler;TOT;55;6;875;61;99;0;1;51;87;92;215;37;21;23;42;110;173;
Tyson Chandler;LAL;48;6;786;53;87;0;1;41;69;85;183;31;19;22;35;89;147;$2393887
Tyus Jones;MIN;68;23;1560;185;446;40;126;58;69;23;111;327;81;5;47;78;468;$2444053
Udonis Haslem;MIA;10;1;74;11;33;0;12;3;4;3;24;2;0;0;3;9;25;$2393887
Victor Oladipo;IND;36;36;1147;249;588;74;216;103;141;21;181;186;60;11;82;72;675;$21000000
Vince Carter;ATL;76;9;1330;196;468;123;316;47;66;31;163;87;44;27;48;141;562;$2393887
Vince Edwards;HOU;2;0;16;1;4;1;4;0;0;1;1;0;0;0;0;0;3;
Wade Baldwin;POR;16;0;94;10;33;2;9;8;11;2;13;12;1;2;14;11;30;
Walt Lemon;CHI;6;3;167;38;87;2;5;8;11;4;23;30;11;1;10;14;86;
Wayne Ellington;TOT;53;38;1297;184;457;138;372;39;49;14;93;72;54;6;40;92;545;
Wayne Ellington;MIA;25;12;533;69;184;57;155;14;16;6;41;29;24;3;14;40;209;
Wayne Ellington;DET;28;26;764;115;273;81;217;25;33;8;52;43;30;3;26;52;336;$2383076
Wayne Selden;TOT;75;13;1439;196;483;55;174;67;92;37;143;109;33;13;79;131;514;
Wayne Selden;MEM;32;0;455;65;161;20;63;22;29;16;28;36;10;6;23;48;172;
Wayne Selden;CHI;43;13;984;131;322;35;111;45;63;21;115;73;23;7;56;83;342;$1544951
Wendell Carter;CHI;44;44;1110;180;371;6;32;89;112;87;220;78;26;58;65;152;455;$4441200
Wesley Iwundu;ORL;68;13;1233;113;274;29;79;84;103;37;147;73;28;22;44;123;339;$1378242
Wesley Johnson;WAS;12;0;157;10;40;6;26;7;10;2;16;7;2;5;6;18;33;$6134520
Wesley Johnson;TOT;38;13;534;45;128;25;76;13;19;12;60;23;14;12;18;63;128;
Wesley Johnson;NOP;26;13;377;35;88;19;50;6;9;10;44;16;12;7;12;45;95;
Wesley Matthews;NYK;2;1;54;4;19;2;10;4;5;1;2;5;1;1;2;2;14;$18622514
Wesley Matthews;TOT;69;68;2091;279;698;150;403;132;163;32;138;160;54;17;91;160;840;
Wesley Matthews;DAL;44;44;1312;194;469;100;263;87;110;20;82;100;33;12;58;102;575;
Wesley Matthews;IND;23;23;725;81;210;48;130;41;48;11;54;55;20;4;31;56;251;$737715
Will Barton;DEN;43;38;1189;185;460;67;196;57;74;32;167;124;18;22;65;82;494;$11830358
Willie Cauley-Stein;SAC;81;81;2213;412;741;1;2;140;254;181;497;194;96;51;84;227;965;$4696875
Willy Hernangomez;CHO;58;3;812;153;295;15;39;100;144;117;194;60;16;20;58;98;421;$1544951
Wilson Chandler;LAC;15;1;226;23;66;13;40;5;7;4;43;10;3;3;7;29;64;$12800562
Wilson Chandler;TOT;51;33;1177;114;273;59;158;18;25;48;167;82;25;21;46;123;305;
Wilson Chandler;PHI;36;32;951;91;207;46;118;13;18;44;124;72;22;18;39;94;241;
Yante Maten;MIA;2;0;13;1;4;0;1;0;0;1;2;0;1;0;0;0;2;
Yogi Ferrell;SAC;71;3;1067;153;352;54;149;60;67;13;96;137;36;4;40;64;420;$3000000
Yuta Watanabe;MEM;15;0;174;15;51;2;16;7;10;4;27;8;4;1;6;11;39;
Zach Collins;POR;77;0;1356;189;400;40;121;94;126;109;215;71;25;66;77;174;512;$3628920
Zach LaVine;CHI;63;62;2171;530;1135;120;321;312;375;40;254;283;60;26;215;140;1492;$19500000
Zach Lofton;DET;1;0;4;0;1;0;1;0;0;0;0;0;1;0;1;0;0;
Zaza Pachulia;DET;68;3;878;85;193;0;4;97;124;99;166;91;31;17;57;151;267;$2393887
Zhaire Smith;PHI;6;2;111;14;34;6;16;6;8;3;10;10;2;2;6;8;40;$2611800
Zhou Qi;HOU;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;$506134
